# Named widgets from Kenshi's shipped MyGUI layouts, one per line.
# Captured verbatim from data/gui/layout/*.layout in the pinned
# install; the game's own enumeration of its GUI. Not hand-authored.
#
# SCOPE: base Kenshi only. Mods add windows that exist in no layout
# file - RE_Kenshi contributes DebugWindow, GameSpeedTutorialWindow
# and BugReportWindow, observed live and absent here. Widgets built
# in code rather than loaded from a layout are also outside it; all
# 45 such controls observed so far were anonymous rendered text and
# none were actionable.
layout	widget	type
Kenshi_BuildWindow.layout	FloorArrowUp	Button
Kenshi_CharacterEditor.layout	Root	Widget
Kenshi_CharacterEditor.layout	TabsPanel	Widget
Kenshi_CharacterEditor.layout	BodyTabButton	Button
Kenshi_CharacterEditor.layout	FaceTabButton	Button
Kenshi_CharacterEditor.layout	HairTabButton	Button
Kenshi_CharacterEditor.layout	TabsPanelContent	Widget
Kenshi_CharacterEditor.layout	RandomiseButton	Button
Kenshi_CharacterEditor.layout	RandomiseAllButton	Button
Kenshi_CharacterEditor.layout	ResetButton	Button
Kenshi_CharacterEditor.layout	NamePanel	Widget
Kenshi_CharacterEditor.layout	NameText	EditBox
Kenshi_CharacterEditor.layout	RaceLeftButton	Button
Kenshi_CharacterEditor.layout	RaceRightButton	Button
Kenshi_CharacterEditor.layout	SubRaceLeftButton	Button
Kenshi_CharacterEditor.layout	SubRaceRightButton	Button
Kenshi_CharacterEditor.layout	GenderLeftButton	Button
Kenshi_CharacterEditor.layout	GenderRightButton	Button
Kenshi_CharacterEditor.layout	CharLeftArrow	Button
Kenshi_CharacterEditor.layout	CharRightArrow	Button
Kenshi_CharacterEditor.layout	CharIndexText	TextBox
Kenshi_CharacterEditor.layout	ImportButton	Button
Kenshi_CharacterEditor.layout	ExportButton	Button
Kenshi_CharacterEditor.layout	ClothesButton	Button
Kenshi_CharacterEditor.layout	RaceText	TextBox
Kenshi_CharacterEditor.layout	SubRaceText	TextBox
Kenshi_CharacterEditor.layout	GenderText	TextBox
Kenshi_CharacterEditor.layout	lbRace	TextBox
Kenshi_CharacterEditor.layout	lbSubRace	TextBox
Kenshi_CharacterEditor.layout	lbGender	TextBox
Kenshi_CharacterEditor.layout	lbChangeCharacter	TextBox
Kenshi_CharacterEditor.layout	ConfirmPanel	Widget
Kenshi_CharacterEditor.layout	ConfirmButton	Button
Kenshi_CharacterEditor.layout	DescriptionPanel	Widget
Kenshi_CharacterEditor.layout	lbRaceDescription	TextBox
Kenshi_CharacterEditor.layout	DescriptionPanelText	EditBox
Kenshi_CharacterEditor.layout	StatsPanel	Widget
Kenshi_CharacterEditor.layout	lbRaceStats	TextBox
Kenshi_CharacterEditor.layout	StatsPanelText	Widget
Kenshi_CharacterNamePanel.layout	Root	Widget
Kenshi_CharacterNamePanel.layout	NameText	TextBox
Kenshi_CharacterNamePanel.layout	StealthImage	ImageBox
